2010-10-28 13:29:24 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:30:07 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:34:10 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:34:14 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:34:37 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:34:37 Notice: Notice (8): Undefined index: SubjectSubs in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:35:06 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:35:07 Notice: Notice (8): Undefined index: SubjectSubs in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 52]
2010-10-28 13:35:29 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:35:30 Notice: Notice (8): Undefined index: ssid in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:35:30 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:39:43 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:39:43 Notice: Notice (8): Undefined index: ssid in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:40:11 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:40:11 Notice: Notice (8): Undefined index: ssid in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:40:11 Notice: Notice (8): Undefined index: name in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:40:38 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:41:06 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:43:58 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:43:58 Notice: Notice (8): Undefined index: SubjectSubs in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:44:25 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:44:25 Notice: Notice (8): Undefined index: SubjectSubs in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 51]
2010-10-28 13:45:31 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:47:13 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:50:54 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:50:54 Notice: Notice (8): Undefined index: SubjectSubs in [/Applications/MAMP/htdocs/onlineschool/app/views/contents/index.ctp, line 52]
2010-10-28 13:51:09 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:51:34 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:51:52 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:54:00 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:55:13 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:55:44 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:57:26 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:57:26 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 13]
2010-10-28 13:58:07 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:58:07 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 13]
2010-10-28 13:58:07 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 14]
2010-10-28 13:58:27 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:58:27 Notice: Notice (8): Undefined index: Subject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 14]
2010-10-28 13:58:58 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:59:28 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 13:59:38 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 14:31:50 Notice: Notice (8): Undefined variable: subjects in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 10]
2010-10-28 14:31:50 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 14:32:01 Notice: Notice (8): Undefined index: parent_id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 2322]
2010-10-28 14:32:01 Notice: Notice (8): Undefined variable: subject_opts in [/Applications/MAMP/htdocs/onlineschool/app/controllers/contents_controller.php, line 14]
